시도,주소,학교명,상태,위도,경도
제주,제주특별자치도 제주시 이도일동1257-1,광양초등학교,1,33.50237426,126.5297438
전남,전라남도 광양시 광양읍 칠성리1006번지,광양칠성초등학교,1,34.97902347,127.5788418
전남,전라남도 광양시 금영로140(광양시 광영동 75번지),광영초등학교,1,34.96336186,127.7202873
서울,서울특별시 성북구 한천로 693장위3동 128,광운초등학교,1,37.61891034,127.055271
전남,전라남도 구례군 광의면연파리 318-1,광의초등학교,1,35.25936947,127.4457871
부산,부산광역시 중구 중구로74번지광일초등학교,광일초등학교,1,35.10367531,129.0299806
경기,경기도 군포시 산본로386번길 5-20. 광정초등학교 (산본동. 광정초등학교),광정초등학교,1,37.36564064,126.9306825
광주,광주 서구 쌍촌동905-19번지,광주 상무초등학교,1,35.14118369,126.8556761
광주,광주광역시 동구 중앙로 320(계림동.계림초등학교),광주계림초등학교,1,35.16036395,126.9216154
경기,경기도 광주시 오포읍 신현리365,광주광명초등학교,1,37.35961195,127.1608971
광주,광주광역시 서구 월산로 266(농성동.광천초등학교),광주광천초등학교,1,35.15919656,126.8901253
광주,광주광역시 북구 필문대로 55(풍향동.광주교육대학교),광주교육대학교광주부설초등학교,1,35.16493483,126.9260542
전남,전라남도 목포시 용해동289,광주교육대학교목포부설초등학교,1,34.80823035,126.4049172
광주,광주광역시 동구 지원로5번길 20. 광주남초등학교 (소태동),광주남초등학교,1,35.12609023,126.9330758
광주,광주광역시 남구 월산4동914-1,광주농성초등학교,1,35.14853214,126.8906444
